,Rides lost ,latitude,longitude
82,"1,817",52.567,13.412
83,"1,725",52.508,13.451
84,"1,800",52.516,13.418
85,"1,819",52.393,13.067
86,"1,702",52.549,13.414
87,"1,716",52.527,13.403
88,"1,649",52.473,13.455
89,"1,710",52.499,13.419
90,"1,764",52.555,13.398
91,"1,603",52.507,13.306
92,"1,717",52.387,13.396
93,"1,524",52.55,13.352
94,"1,582",52.523,13.409
95,"1,695",52.511,13.381
96,"1,452",52.48,13.352
97,"1,825",52.502,13.47
98,"1,565",52.487,13.425
99,"3,888",52.518,13.376
100,"1,593",52.488,13.425
101,"1,355",52.5,13.363
102,"1,979",52.519,13.409
103,"1,721",52.499,13.418
104,"1,654",52.508,13.39
105,"1,634",52.533,13.329
106,"1,553",52.52,13.387
107,"1,498",52.503,13.446
108,"1,594",52.507,13.331
109,"1,454",52.491,13.416
110,"1,276",52.49,13.36
111,"1,465",52.471,13.385
112,"1,685",52.524,13.411
113,"1,597",52.511,13.345
114,"1,403",52.487,13.331
115,"1,139",52.505,13.302
116,"1,265",52.52,13.347
117,"1,321",52.464,13.332
118,"1,358",52.512,13.427
119,"1,370",52.477,13.439
120,"1,428",52.416,13.497
121,"1,498",52.493,13.422
122,"1,446",52.431,13.259
123,"1,401",52.481,13.435
124,"1,612",52.498,13.392
125,"1,686",52.529,13.458
126,"1,609",52.493,13.46
127,"1,523",52.5,13.444
128,"1,535",52.516,13.389
129,"1,575",52.503,13.469
130,"1,591",52.553,13.382
131,"1,645",52.52,13.414
132,"1,447",52.498,13.406
133,"1,346",52.513,13.412
134,"1,623",52.468,13.432
135,"1,121",52.531,13.412
136,"1,458",52.5,13.354
137,"1,481",52.528,13.396
138,"1,365",52.531,13.402
139,"1,272",52.515,13.474
140,"1,411",52.423,13.484
141,"1,313",52.53,13.4
142,"1,302",52.547,13.359
143,"1,424",52.512,13.384
144,"1,497",52.462,13.445
145,"1,338",52.532,13.367
146,"1,530",52.505,13.449
147,"1,224",52.5,13.423
148,"1,542",52.52,13.388
149,"1,578",52.51,13.377
150,"1,248",52.511,13.305
151,"1,365",52.476,13.366
152,"1,179",52.485,13.385
153,"1,681",52.519,13.406
154,932,52.501,13.325
155,"1,652",52.52,13.413
156,"1,116",52.55,13.353
157,"1,473",52.522,13.388
158,"1,075",52.52,13.32
159,"1,471",52.521,13.387
160,"1,557",52.519,13.381
161,"1,235",52.511,13.39
162,"1,395",52.515,13.35
163,"1,206",52.512,13.305
164,"1,395",52.486,13.424
165,"1,072",52.549,13.354
166,"1,206",52.499,13.429
167,"1,589",52.514,13.519
168,"1,302",52.468,13.442
169,"1,191",52.498,13.354
170,"1,137",52.529,13.41
171,"1,222",52.516,13.454
172,"2,822",52.4,13.048
173,"1,230",52.544,13.427
174,"1,540",52.494,13.461
175,"1,142",52.533,13.328
176,"1,218",52.511,13.459
177,"1,217",52.556,13.342
178,"1,249",52.529,13.456
179,"1,321",52.538,13.396
180,980,52.506,13.314
181,"1,320",52.566,13.413
182,"1,119",52.504,13.338
183,"1,184",52.504,13.41
184,"1,355",52.499,13.383
185,"1,249",52.505,13.303
186,"1,308",52.518,13.342
187,"1,041",52.566,13.363
188,"1,250",52.524,13.465
189,"1,510",52.505,13.338
190,"1,181",52.564,13.327
191,"1,114",52.457,13.321
192,"1,465",52.51,13.38
193,"1,153",52.497,13.354
194,"1,616",52.534,13.198
195,"1,089",52.518,13.416
196,"1,397",52.391,13.067
197,"1,367",52.494,13.388
198,"1,147",52.542,13.366
199,"1,115",52.511,13.297
200,"1,022",52.48,13.436
201,"1,003",52.48,13.437
202,"1,187",52.507,13.391
203,"1,098",52.527,13.416
204,"1,251",52.486,13.425
205,"1,036",52.455,13.384
206,"1,332",52.52,13.411
207,"1,268",52.477,13.419
208,"1,285",52.514,13.478
209,"1,322",52.488,13.426
210,"1,195",52.501,13.442
211,"1,092",52.537,13.272
212,"1,153",52.503,13.339
213,"1,112",52.499,13.42
214,"1,366",52.471,13.386
215,"1,155",52.54,13.412
216,"1,352",52.529,13.457
217,"1,493",52.514,13.377
218,"1,104",52.572,13.36
219,"1,223",52.53,13.402
220,"1,125",52.526,13.394
221,"1,083",52.502,13.342
222,"1,038",52.392,13.067
223,"1,224",52.512,13.426
224,"1,132",52.493,13.388
225,"1,153",52.499,13.357
226,"1,228",52.55,13.392
227,"1,389",52.521,13.408
228,"1,260",52.499,13.408
229,"1,304",52.517,13.4
230,"1,128",52.499,13.417
231,"1,133",52.564,13.364
232,"1,155",52.531,13.383
233,"1,095",52.489,13.393
234,"1,087",52.479,13.425
235,975,52.511,13.5
236,"1,294",52.549,13.387
237,"1,326",52.534,13.199
238,"1,104",52.533,13.387
239,"1,386",52.43,13.453
240,"1,208",52.529,13.455
241,"1,124",52.484,13.436
242,"1,242",52.532,13.388
243,919,52.475,13.366
244,"1,373",52.431,13.26
245,"1,039",52.547,13.358
246,"1,013",52.478,13.438
247,"1,053",52.502,13.42
248,"1,133",52.469,13.467
249,"1,148",52.504,13.332
250,"1,082",52.527,13.341
251,986,52.511,13.437
252,"1,013",52.545,13.379
253,"1,109",52.524,13.41
254,"1,008",52.456,13.384
255,"1,251",52.513,13.38
256,"1,129",52.557,13.374
257,"1,048",52.596,13.336
258,"1,170",52.486,13.43
259,"1,116",52.502,13.409
260,"1,192",52.444,13.449
261,"1,104",52.532,13.341
262,"1,093",52.504,13.337
263,"1,075",52.489,13.414
264,995,52.49,13.387
265,960,52.493,13.369
266,"1,061",52.552,13.367
267,"1,104",52.518,13.389
268,"1,161",52.568,13.412
269,"1,093",52.504,13.382
270,955,52.509,13.46
271,"1,052",52.491,13.361
272,"1,161",52.521,13.401
273,"1,031",52.564,13.393
274,"1,074",52.467,13.489
275,"1,030",52.564,13.328
276,"1,216",52.523,13.399
277,868,52.524,13.408
278,"1,033",52.518,13.307
279,950,52.528,13.329
280,"1,070",52.494,13.389
281,"1,158",52.49,13.434
282,"1,030",52.526,13.34
283,"1,120",52.505,13.337
284,969,52.523,13.464
285,983,52.54,13.405
286,"1,010",52.526,13.447
287,986,52.519,13.284
288,654,52.387,13.409
289,968,52.525,13.406
290,835,52.476,13.363
291,"1,065",52.596,13.333
292,"1,177",52.459,13.356
293,978,52.511,13.452
294,914,52.534,13.405
295,"1,007",52.498,13.436
296,"1,108",52.437,13.448
297,911,52.526,13.411
298,"1,099",52.482,13.407
299,967,52.504,13.331
300,"1,228",52.399,13.39
301,"1,009",52.531,13.301
302,968,52.533,13.399
303,855,52.499,13.303
304,903,52.542,13.349
305,954,52.532,13.342
306,"1,078",52.499,13.421
307,898,52.508,13.306
308,"1,031",52.503,13.34
309,939,52.482,13.44
310,"1,161",52.53,13.401
311,944,52.539,13.424
312,920,52.497,13.411
313,"1,066",52.43,13.454
314,"1,194",52.521,13.404
315,"1,232",52.521,13.413
316,826,52.485,13.386
317,"1,086",52.499,13.426
318,972,52.457,13.32
319,982,52.497,13.42
320,888,52.465,13.329
321,987,52.387,13.397
322,"1,163",52.495,13.389
323,899,52.552,13.383
324,899,52.515,13.463
325,"1,169",52.501,13.374
326,"1,322",52.524,13.368
327,963,52.479,13.438
328,984,52.507,13.45
329,"1,247",52.589,13.325
330,947,52.472,13.441
331,944,52.493,13.368
332,"1,044",52.497,13.419
333,944,52.525,13.413
334,953,52.474,13.44
335,922,52.528,13.327
336,"1,175",52.511,13.417
337,795,52.506,13.306
338,"1,119",52.503,13.468
339,922,52.541,13.438
340,891,52.485,13.433
341,"1,078",52.509,13.377
342,992,52.501,13.343
343,897,52.449,13.354
344,968,52.505,13.382
345,"1,154",52.506,13.342
346,894,52.501,13.417
347,913,52.51,13.455
348,854,52.512,13.457
349,846,52.5,13.438
350,901,52.544,13.37
351,944,52.502,13.341
352,"1,034",52.482,13.425
353,822,52.49,13.424
354,782,52.546,13.36
355,908,52.492,13.423
356,"1,341",52.524,13.418
357,"1,027",52.508,13.377
358,962,52.498,13.27
359,995,52.533,13.388
360,"1,154",52.523,13.41
361,"1,063",52.471,13.42
362,833,52.461,13.385
363,917,52.507,13.283
364,837,52.505,13.331
365,"1,028",52.499,13.416
366,784,52.49,13.39
367,895,52.493,13.428
368,895,52.48,13.417
369,891,52.514,13.389
370,977,52.455,13.512
371,781,52.56,13.414
372,796,52.526,13.306
373,917,52.507,13.386
374,759,52.503,13.325
375,726,52.487,13.357
376,775,52.459,13.384
377,944,52.552,13.382
378,904,52.466,13.385
379,852,52.485,13.353
380,839,52.498,13.447
381,"1,017",52.394,13.407
382,884,52.503,13.41
383,"1,107",52.516,13.382
384,891,52.51,13.379
385,"1,005",52.472,13.385
386,"1,260",52.524,13.37
387,825,52.499,13.422
388,"1,026",52.527,13.411
389,856,52.559,13.413
390,814,52.549,13.355
391,786,52.49,13.388
392,935,52.518,13.396
393,804,52.542,13.35
394,855,52.551,13.414
395,785,52.515,13.336
396,882,52.494,13.419
397,"1,027",52.469,13.386
398,853,52.512,13.498
399,797,52.515,13.288
400,889,52.516,13.403
401,795,52.5,13.308
402,903,52.532,13.389
403,757,52.501,13.313
404,898,52.536,13.433
405,869,52.526,13.368
406,956,52.468,13.49
407,816,52.49,13.42
408,776,52.512,13.434
409,832,52.491,13.423
410,896,52.435,13.54
411,900,52.472,13.429
412,829,52.514,13.453
413,784,52.513,13.305
414,613,52.49,13.389
415,680,52.497,13.291
416,921,52.498,13.419
417,765,52.498,13.363
418,856,52.505,13.332
419,820,52.486,13.435
420,859,52.512,13.391
421,950,52.549,13.389
422,943,52.543,13.365
423,914,52.476,13.364
424,871,52.507,13.469
425,895,52.527,13.387
426,753,52.485,13.434
427,765,52.506,13.303
428,752,52.512,13.453
429,646,52.565,13.364
430,941,52.607,13.32
431,969,52.517,13.381
432,851,52.504,13.335
433,893,52.517,13.39
434,767,52.567,13.385
435,803,52.475,13.44
436,982,52.476,13.365
437,932,52.505,13.334
438,756,52.49,13.386
439,949,52.508,13.482
440,783,52.5,13.427
441,823,52.469,13.431
442,855,52.503,13.331
443,669,52.491,13.325
444,732,52.495,13.361
445,769,52.503,13.433
446,947,52.513,13.377
447,936,52.515,13.419
448,740,52.502,13.325
449,774,52.454,13.511
450,859,52.528,13.363
451,759,52.512,13.389
452,720,52.507,13.309
453,939,52.459,13.355
454,753,52.493,13.331
455,822,52.474,13.427
456,948,52.55,13.386
457,665,52.506,13.32
458,744,52.527,13.415
459,853,52.432,13.259
460,904,52.514,13.477
461,"1,082",52.525,13.414
462,847,52.513,13.458
463,770,52.49,13.314
464,780,52.488,13.419
465,713,52.491,13.387
466,591,52.509,13.498
467,677,52.506,13.318
468,846,52.517,13.386
469,774,52.518,13.284
470,981,52.506,13.334
471,855,52.51,13.43
472,758,52.485,13.373
473,779,52.501,13.344
474,737,52.527,13.343
475,872,52.474,13.455
476,757,52.499,13.4
477,613,52.506,13.322
478,804,52.509,13.451
479,736,52.478,13.329
480,813,52.524,13.33
481,825,52.5,13.408
482,979,52.485,13.437
483,773,52.528,13.395
484,906,52.544,13.369
485,758,52.503,13.304
486,713,52.529,13.405
487,912,52.394,13.128
488,802,52.483,13.432
489,809,52.501,13.441
490,816,52.464,13.444
491,735,52.531,13.4
492,788,52.543,13.367
493,764,52.498,13.421
494,754,52.55,13.413
495,813,52.499,13.427
496,761,52.509,13.425
497,738,52.515,13.466
498,877,52.423,13.474
499,778,52.5,13.441
500,891,52.596,13.335
501,737,52.53,13.317
502,922,52.509,13.434
503,722,52.491,13.394
504,817,52.466,13.386
505,822,52.508,13.455
506,804,52.465,13.433
507,737,52.529,13.301
508,790,52.482,13.349
509,692,52.473,13.441
510,888,52.456,13.51
511,782,52.495,13.414
512,661,52.464,13.327
513,640,52.5,13.306
514,781,52.528,13.41
515,853,52.436,13.274
516,605,52.527,13.333
517,651,52.536,13.376
518,724,52.542,13.357
519,"1,026",52.492,13.461
520,861,52.527,13.37
521,864,52.56,13.377
522,770,52.504,13.411
523,689,52.494,13.384
524,744,52.498,13.35
525,803,52.508,13.373
526,763,52.477,13.364
527,681,52.5,13.416
528,738,52.503,13.43
529,779,52.499,13.432
530,731,52.519,13.397
531,728,52.503,13.391
532,787,52.48,13.421
533,779,52.504,13.449
534,724,52.537,13.264
535,632,52.496,13.331
536,601,52.525,13.306
537,749,52.517,13.306
538,784,52.552,13.381
539,"1,039",52.56,13.38
540,631,52.507,13.302
541,671,52.537,13.408
542,784,52.55,13.365
543,750,52.478,13.426
544,721,52.505,13.45
545,823,52.501,13.419
546,742,52.481,13.35
547,990,52.514,13.378
548,776,52.498,13.362
549,741,52.47,13.467
550,918,52.521,13.412
551,747,52.511,13.397
552,737,52.515,13.294
553,696,52.503,13.326
554,711,52.502,13.385
555,798,52.461,13.435
556,557,52.519,13.285
557,790,52.508,13.374
558,776,52.44,13.387
559,706,52.504,13.304
560,714,52.499,13.353
561,906,52.549,13.39
562,745,52.497,13.363
563,684,52.54,13.411
564,972,52.527,13.33
565,629,52.533,13.366
566,787,52.506,13.449
567,808,52.467,13.431
568,669,52.476,13.44
569,849,52.505,13.368
570,776,52.47,13.441
571,565,52.488,13.358
572,661,52.507,13.468
573,780,52.487,13.427
574,829,52.551,13.43
575,547,52.494,13.346
576,728,52.509,13.423
577,639,52.542,13.348
578,759,52.504,13.367
579,728,52.493,13.387
580,586,52.544,13.359
581,784,52.502,13.417
582,720,52.518,13.433
583,593,52.553,13.347
584,736,52.522,13.416
585,722,52.494,13.429
586,829,52.509,13.374
587,705,52.564,13.365
588,818,52.493,13.461
589,631,52.503,13.431
590,629,52.487,13.386
591,765,52.454,13.51
592,704,52.502,13.441
593,582,52.497,13.35
594,693,52.478,13.328
595,685,52.491,13.435
596,634,52.527,13.408
597,829,52.517,13.384
598,963,52.535,13.199
599,643,52.456,13.322
600,642,52.491,13.331
601,642,52.5,13.325
602,702,52.507,13.307
603,575,52.49,13.353
604,812,52.494,13.46
605,792,52.549,13.388
606,623,52.517,13.307
607,625,52.479,13.344
608,678,52.456,13.323
609,769,52.507,13.39
610,681,52.501,13.41
611,694,52.478,13.343
612,622,52.496,13.361
613,704,52.53,13.455
614,617,52.501,13.317
615,652,52.521,13.328
616,495,52.512,13.309
617,698,52.481,13.425
618,617,52.493,13.383
619,762,52.399,13.058
620,803,52.486,13.431
621,811,52.425,13.463
622,785,52.542,13.412
623,699,52.502,13.431
624,629,52.505,13.322
625,577,52.552,13.349
626,635,52.493,13.437
627,600,52.538,13.411
628,"1,105",52.525,13.369
629,643,52.541,13.394
630,640,52.554,13.36
631,604,52.484,13.353
632,653,52.574,13.348
633,785,52.391,13.066
634,569,52.567,13.363
635,613,52.49,13.394
636,774,52.424,13.375
637,642,52.48,13.311
638,698,52.477,13.329
639,637,52.538,13.42
640,780,52.52,13.356
641,701,52.502,13.418
642,699,52.53,13.403
643,629,52.503,13.329
644,592,52.501,13.358
645,807,52.453,13.449
646,775,52.509,13.378
647,652,52.564,13.392
648,685,52.478,13.448
649,818,52.392,13.064
650,643,52.492,13.395
651,544,52.487,13.358
652,719,52.487,13.429
653,695,52.502,13.343
654,741,52.469,13.43
655,660,52.532,13.344
656,564,52.539,13.41
657,708,52.483,13.442
658,702,52.514,13.406
659,597,52.461,13.325
660,709,52.529,13.363
661,624,52.515,13.454
662,505,52.524,13.466
663,575,52.501,13.435
664,786,52.579,13.333
665,582,52.526,13.342
666,705,52.534,13.329
667,654,52.533,13.429
668,698,52.514,13.473
669,635,52.497,13.324
670,715,52.528,13.393
671,791,52.424,13.374
672,718,52.484,13.394
673,589,52.446,13.386
674,734,52.511,13.373
675,795,52.399,13.389
676,686,52.477,13.328
677,719,52.518,13.283
678,751,52.541,13.413
679,572,52.485,13.365
680,630,52.459,13.526
681,655,52.501,13.431
682,680,52.428,13.468
683,602,52.474,13.441
684,597,52.504,13.428
685,761,52.516,13.38
686,762,52.471,13.464
687,807,52.515,13.352
688,650,52.575,13.338
689,628,52.534,13.403
690,494,52.529,13.416
691,678,52.498,13.429
692,641,52.53,13.301
693,632,52.533,13.38
694,631,52.506,13.447
695,621,52.526,13.343
696,708,52.505,13.391
697,532,52.489,13.407
698,733,52.456,13.437
699,629,52.482,13.432
700,816,52.515,13.353
701,612,52.507,13.437
702,675,52.476,13.439
703,694,52.505,13.44
704,700,52.527,13.332
705,549,52.489,13.359
706,665,52.541,13.369
707,526,52.49,13.349
708,725,52.51,13.384
709,660,52.476,13.465
710,810,52.519,13.408
711,606,52.543,13.392
712,525,52.515,13.432
713,597,52.515,13.465
714,638,52.506,13.448
715,643,52.494,13.361
716,705,52.395,13.128
717,624,52.523,13.394
718,503,52.457,13.437
719,708,52.487,13.431
720,712,52.507,13.332
721,313,52.523,13.307
722,630,52.504,13.33
723,656,52.501,13.444
724,693,52.536,13.474
725,699,52.44,13.388
726,951,52.467,13.422
727,647,52.509,13.392
728,750,52.489,13.454
729,752,52.558,13.374
730,637,52.537,13.397
731,597,52.562,13.426
732,593,52.456,13.324
733,710,52.501,13.346
734,582,52.544,13.36
735,717,52.429,13.454
736,607,52.398,13.389
737,658,52.496,13.442
738,591,52.509,13.306
739,700,52.452,13.449
740,677,52.493,13.423
741,533,52.502,13.415
742,568,52.502,13.322
743,713,52.511,13.43
744,592,52.481,13.424
745,626,52.538,13.412
746,697,52.516,13.453
747,513,52.495,13.433
748,567,52.501,13.428
749,612,52.502,13.469
750,672,52.479,13.328
751,706,52.5,13.418
752,640,52.5,13.35
753,644,52.496,13.33
754,633,52.446,13.45
755,623,52.508,13.449
756,719,52.46,13.437
757,512,52.485,13.354
758,643,52.393,13.064
759,549,52.491,13.397
760,522,52.501,13.421
761,650,52.479,13.445
762,664,52.519,13.287
763,525,52.486,13.322
764,600,52.493,13.421
765,677,52.52,13.415
766,464,52.521,13.447
767,661,52.499,13.446
768,525,52.506,13.326
769,571,52.554,13.359
770,554,52.514,13.397
771,616,52.501,13.364
772,705,52.522,13.415
773,596,52.465,13.422
774,584,52.469,13.332
775,519,52.505,13.32
776,524,52.502,13.44
777,456,52.499,13.3
778,587,52.5,13.313
779,551,52.499,13.44
780,593,52.481,13.428
781,724,52.51,13.431
782,436,52.486,13.355
783,775,52.511,13.416
784,526,52.518,13.507
785,661,52.532,13.381
786,530,52.543,13.356
787,563,52.49,13.361
788,583,52.401,13.058
789,587,52.541,13.414
790,599,52.505,13.412
791,772,52.517,13.405
792,575,52.527,13.329
793,668,52.51,13.452
794,493,52.536,13.407
795,540,52.498,13.296
796,668,52.481,13.427
797,593,52.548,13.413
798,597,52.47,13.43
799,644,52.527,13.34
800,640,52.514,13.335
801,639,52.555,13.376
802,660,52.477,13.421
803,559,52.492,13.387
804,663,52.551,13.351
805,520,52.488,13.34
806,632,52.526,13.344
807,564,52.5,13.496
808,586,52.54,13.419
809,652,52.488,13.429
810,874,52.513,13.574
811,686,52.544,13.375
812,600,52.503,13.412
813,675,52.464,13.433
814,363,52.508,13.415
815,514,52.508,13.414
816,659,52.558,13.386
817,612,52.493,13.415
818,636,52.475,13.419
819,588,52.497,13.331
820,596,52.543,13.376
821,469,52.493,13.333
822,708,52.501,13.445
823,589,52.499,13.46
824,631,52.392,13.091
825,625,52.511,13.406
826,618,52.511,13.435
827,658,52.491,13.413
828,632,52.541,13.368
829,602,52.491,13.36
830,628,52.505,13.469
831,625,52.559,13.377
832,538,52.53,13.41
833,540,52.493,13.389
834,572,52.536,13.358
835,679,52.554,13.414
836,584,52.527,13.337
837,483,52.49,13.352
838,579,52.491,13.395
839,630,52.503,13.327
840,631,52.55,13.388
841,675,52.486,13.429
842,699,52.5,13.374
843,488,52.477,13.333
844,494,52.507,13.423
845,612,52.483,13.437
846,516,52.523,13.434
847,611,52.51,13.458
848,317,52.487,13.326
849,554,52.5,13.446
850,466,52.491,13.317
851,654,52.504,13.383
852,578,52.549,13.415
853,522,52.464,13.498
854,647,52.525,13.465
855,612,52.497,13.347
856,604,52.489,13.423
857,531,52.512,13.322
858,603,52.479,13.426
859,520,52.533,13.407
860,689,52.548,13.375
861,702,52.521,13.414
862,744,52.522,13.412
863,636,52.508,13.453
864,611,52.511,13.392
865,472,52.501,13.359
866,586,52.488,13.414
867,648,52.51,13.456
868,556,52.501,13.432
869,578,52.482,13.348
870,597,52.513,13.427
871,562,52.503,13.413
872,484,52.494,13.31
873,592,52.501,13.348
874,644,52.513,13.383
875,480,52.511,13.508
876,604,52.478,13.386
877,689,52.508,13.376
878,609,52.47,13.444
879,648,52.508,13.424
880,642,52.48,13.444
881,608,52.526,13.318
882,536,52.543,13.393
883,397,52.522,13.325
884,503,52.498,13.442
885,793,52.529,13.364
886,682,52.514,13.475
887,602,52.499,13.445
888,636,52.556,13.384
889,545,52.535,13.358
890,588,52.493,13.296
891,592,52.518,13.405
892,567,52.544,13.364
893,677,52.469,13.385
894,529,52.494,13.324
895,618,52.54,13.402
896,593,52.446,13.385
897,475,52.462,13.367
898,616,52.505,13.341
899,524,52.507,13.416
900,551,52.493,13.395
901,644,52.496,13.45
902,595,52.502,13.365
903,554,52.511,13.295
904,708,52.468,13.429
905,684,52.506,13.52
906,572,52.488,13.438
907,668,52.505,13.442
908,638,52.52,13.417
909,598,52.557,13.395
910,532,52.512,13.431
911,544,52.495,13.354
912,584,52.597,13.355
913,661,52.445,13.45
914,574,52.532,13.428
915,504,52.535,13.407
916,534,52.54,13.371
917,666,52.492,13.372
918,612,52.503,13.395
919,592,52.423,13.473
920,591,52.528,13.331
921,641,52.503,13.47
922,517,52.55,13.368
923,587,52.499,13.43
924,483,52.536,13.357
925,579,52.511,13.418
926,503,52.493,13.431
927,583,52.541,13.415
928,539,52.549,13.377
929,636,52.524,13.388
930,744,52.525,13.419
931,581,52.479,13.422
932,691,52.522,13.387
933,567,52.553,13.379
934,481,52.531,13.362
935,639,52.445,13.374
936,509,52.56,13.413
937,393,52.483,13.377
938,567,52.387,13.399
939,456,52.526,13.37
940,605,52.511,13.436
941,608,52.48,13.424
942,505,52.535,13.422
943,564,52.393,13.036
944,495,52.537,13.423
945,679,52.513,13.498
946,655,52.503,13.438
947,428,52.487,13.328
948,424,52.499,13.302
949,540,52.486,13.323
950,545,52.484,13.429
951,541,52.538,13.373
952,624,52.529,13.369
953,588,52.403,13.058
954,545,52.501,13.408
955,534,52.565,13.378
956,568,52.525,13.343
957,425,52.507,13.293
958,508,52.548,13.356
959,541,52.508,13.388
960,509,52.524,13.332
961,524,52.512,13.323
962,661,52.505,13.333
963,717,52.429,13.328
964,550,52.5,13.439
965,515,52.566,13.391
966,548,52.559,13.371
967,468,52.514,13.317
968,491,52.51,13.272
969,484,52.459,13.323
970,560,52.607,13.325
971,642,52.498,13.465
972,606,52.4,13.058
973,610,52.501,13.363
974,560,52.502,13.432
975,545,52.53,13.384
976,516,52.532,13.396
977,538,52.499,13.369
978,433,52.534,13.426
979,569,52.477,13.466
980,546,52.513,13.424
981,492,52.517,13.443
982,582,52.546,13.413
983,600,52.466,13.431
984,660,52.524,13.402
985,510,52.504,13.469
986,353,52.492,13.355
987,543,52.513,13.397
988,538,52.471,13.329
989,519,52.485,13.345
990,480,52.506,13.316
991,599,52.499,13.407
992,552,52.483,13.403
993,566,52.509,13.433
994,647,52.484,13.435
995,587,52.525,13.335
996,620,52.54,13.438
997,488,52.531,13.368
998,395,52.551,13.41
999,431,52.516,13.468
1000,592,52.474,13.428
1001,569,52.503,13.388
1002,555,52.5,13.371
1003,532,52.499,13.346
1004,547,52.494,13.422
1005,624,52.505,13.441
1006,560,52.502,13.331
1007,656,52.513,13.555
1008,681,52.604,13.351
1009,481,52.503,13.328
1010,704,52.521,13.388
1011,468,52.526,13.393
1012,590,52.508,13.48
1013,535,52.496,13.431
1014,565,52.554,13.377
1015,477,52.51,13.33
1016,489,52.549,13.369
1017,622,52.542,13.439
1018,556,52.502,13.391
1019,544,52.493,13.386
1020,502,52.535,13.417
1021,539,52.518,13.418
1022,479,52.478,13.364
1023,717,52.515,13.418
1024,391,52.492,13.345
1025,458,52.486,13.386
1026,571,52.383,13.122
1027,584,52.51,13.451
1028,554,52.51,13.387
1029,511,52.501,13.331
1030,432,52.492,13.433
1031,519,52.484,13.44
1032,517,52.49,13.379
1033,523,52.489,13.425
1034,635,52.498,13.391
1035,488,52.507,13.299
1036,489,52.488,13.376
1037,586,52.486,13.45
1038,382,52.489,13.377
1039,583,52.527,13.393
1040,559,52.54,13.36
1041,529,52.489,13.394
1042,551,52.511,13.398
1043,571,52.504,13.336
1044,460,52.469,13.333
1045,898,52.536,13.2
1046,563,52.509,13.372
1047,488,52.486,13.321
1048,505,52.487,13.423
1049,540,52.464,13.333
1050,978,52.52,13.405
1051,496,52.506,13.323
1052,485,52.503,13.42
1053,498,52.51,13.422
1054,557,52.54,13.403
1055,502,52.493,13.37
1056,534,52.481,13.455
1057,461,52.46,13.324
1058,332,52.492,13.353
1059,553,52.507,13.457
1060,514,52.586,13.287
1061,607,52.509,13.373
1062,588,52.551,13.385
1063,570,52.483,13.441
1064,501,52.519,13.301
1065,553,52.488,13.427
1066,521,52.477,13.424
1067,518,52.565,13.393
1068,532,52.532,13.412
1069,536,52.515,13.46
1070,663,52.524,13.369
1071,489,52.415,13.401
1072,568,52.542,13.334
1073,323,52.533,13.365
1074,477,52.494,13.302
1075,538,52.548,13.451
1076,542,52.512,13.409
1077,510,52.481,13.438
1078,"1,246",52.556,13.168
